"头文件"	"功能"
"netinet/if_ether.h"	"ether_arp的数据结构"
"netinet/ether.h"	"以太祯的网络字节和ascii字节的转换 ether_ntoa(),ether_aton()"
"netinet/ip.h"	"ip数据结构"
"linux/ip.h"	"iphdr的数据结构，以及一些ip层的数据定义，同理的还有tcp.h,udp.h等等"
"linux/if.h"	"主要的socket头文件，似乎修改自unix的if.h，定义了网卡的接口信息的宏，例如IFF_UP.另外有数个重要的interface的数据结构定义，包括ifreq，ifconf，ifmap"
"linux/if_packet.h"	"原始数据包的数据结构定义，包括sockaddr_pkt，sockaddr_ll,想接收原始数据包的不能错过这个文件。同理的还有if_ppp.h,if_tun.h等等"
"netinet/in.h"	"这个文件作的事情就多了。端口宏定义，著名ip（比如loopback），结构sockaddr_in，网络字节转换（ntoh，hton...）...反正太多了，没事的话就把这个文件加到头文件包含里吧.""man 7 ip"""
"netdb.h"	"文件如其名，包括结构hostent（主机环境），获得主机的信息的几个函数（gethostbyname）。似乎这个就是定义主机的各项环境，例如hostname等等"
"net/bpf.h"	"berkeley的数据包过滤头文件，想用bpf进行包过滤的要重视一下这个文件"
"net/ethernet.h"	"包括几个以太网的数据结构，ether_addr（mac帧结构），ether_header（以太帧的头部）"
"<sys/poll.h>"	"提供socket等待测试机制的函数"
"<sys/types.h>"	"primitive system data types(包含很多类型重定义，如pid_t、int8_t等)  "
"<sys/socket.h>"	"套接字相关的函数声明和结构体定义，如socket()、bind()、connect()及struct sockaddr的定义等"
"<sys/ioctl.h>"	"I/O控制操作相关的函数声明，如ioctl()"
"<stdlib.h>"	"某些结构体定义和宏定义，如EXIT_FAILURE、EXIT_SUCCESS等"
"<netdb.h>"	"某些结构体定义、宏定义和函数声明，如struct hostent、struct servent、gethostbyname()、gethostbyaddr()、herror()等"
"<arpa/inet.h>"	"某些函数声明，如inet_ntop()、inet_ntoa()等,IP地址转换函数"
"<netinet/in.h>"	"某些结构体声明、宏定义，如struct sockaddr_in、PROTO_ICMP、INADDR_ANY等"
"unistd.h"	"提供通用的文件、目录、程序及进程操作的函数"
"errno.h"	"提供错误号errno的定义，用于错误处理"
"fcntl.h"	"提供对文件控制的函数"
"time.h"	"提供有关时间的函数"
"crypt.h"	"提供使用DES加密算法的加密函数"
"pwd.h"	"提供对/etc/passwd文件访问的函数"
"shadow.h"	"提供对/etc/shadow文件访问的函数"
"pthread.h"	"提供多线程操作的函数"
"signal.h"	"提供对信号操作的函数"
"sys/wait.h"	"提供进程等待"
"sys/ipc.h"	"进程间通讯（IPC）"
"sys/shm.h"	"共享内存的函数"
